Image,Name,Rating,Number of Episodes,Description
"https://m.media-amazon.com/images/M/MV5BYjNjNDBmZjAtMGZiMS00ODBkLWFjYWItZWQ1ZjEwOGNmZDBjXkEyXkFqcGc@._V1_QL75_UY207_CR4,0,140,207_.jpg",47. Overlord,7.6, (15K),"When a popular MMORPG is scheduled to be shut down permanently, veteran player Momonga refuses to log out. As NPCs begin to develop personalities and minds of their own he decides to put his skills to use as the game's new overlord."
"https://m.media-amazon.com/images/M/MV5BODY3YTZiNTYtYzllMy00Yzk0LWJiMTEtZTQxMTAzMjdkYTcxXkEyXkFqcGc@._V1_QL75_UY207_CR4,0,140,207_.jpg",48. The Tale of The Princess Kaguya,8.0, (56K),"Kaguya is a beautiful young woman coveted by five nobles. To try to avoid marrying a stranger she doesn't love, she sends her suitors on seemingly impossible tasks. But she will have to face her fate and punishment for her choices."
"https://m.media-amazon.com/images/M/MV5BN2NhYzU2NDEtYzI1NS00MjgzLThjZGUtOTYxNGJkZjZmNDdjXkEyXkFqcGc@._V1_QL75_UY207_CR4,0,140,207_.jpg",49. Sword Art Online,7.5, (55K),"In the year 2022, thousands of people get trapped in a new virtual MMORPG and the lone wolf player, Kirito, works to escape."
"https://m.media-amazon.com/images/M/MV5BZWI2NzZhMTItOTM3OS00NjcyLThmN2EtZGZjMjlhYWMwODMzXkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg",50. Tokyo Ghoul,7.7, (69K),"A Tokyo college student is attacked by a ghoul, a superpowered human who feeds on human flesh. He survives, but has become part ghoul and becomes a fugitive on the run."
"https://m.media-amazon.com/images/M/MV5BNjAxMmFjZjgtYjM1ZS00NzdmLTliZDktZmIyMzU5YTBlNDBmXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg",51. The Apothecary Diaries,8.6, (8.7K),"A young maiden is kidnapped and sold into servitude at the emperor's palace, where she secretly employs her pharmacist skills with the help of the head eunuch to unravel medical mysteries in the inner court."
"https://m.media-amazon.com/images/M/MV5BNGU3YzdhMWEtMGRkMC00MzY2LThkOGEtMDFmZDE0NGQxYzFjXkEyXkFqcGc@._V1_QL75_UY207_CR13,0,140,207_.jpg",52. Tokyo Revengers,7.8, (27K),"Hanagaki Takemichi lives an unsatisfying life right up until his death. Waking up 12 years in the past, he reckons with the eventual fate of his friends and tries to prevent an unfortunate future."
"https://m.media-amazon.com/images/M/MV5BODBhMTI3YzMtNTRjYS00OTFkLWJmODUtNjJiNzcwYTVkNDhiXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg",53. Nausicaä of the Valley of the Wind,8.0, (187K),Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.
"https://m.media-amazon.com/images/M/MV5BMDg3MGVhNWUtYTQ2NS00ZDdiLTg5MTMtZmM5MjUzN2IxN2I4XkEyXkFqcGc@._V1_QL75_UY207_CR5,0,140,207_.jpg",54. Classroom of the Elite,7.7, (16K),"When Kiyotaka enters government-sponsored elite high school, he finds out just how merit-based this education system is."
"https://m.media-amazon.com/images/M/MV5BZWQ2YmI5NWMtZTY2Mi00MGUxLWFhMmEtYjVjZjMwOTNkOThjXkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg",55. Erased,8.4, (62K),"29-year-old Satoru Fujinuma is sent back in time 18 years to prevent the events leading to his mother's death, which began with a series of kidnappings while he was in 5th grade."
"https://m.media-amazon.com/images/M/MV5BODVhMWE1NjctYjcwMC00MzQwLWI5YzItMTcyMTNiNmE5MTFjXkEyXkFqcGc@._V1_QL75_UY207_CR1,0,140,207_.jpg",56. High School DxD,7.5, (15K),"After being killed on his first date, idiotic and perverted Issei Hyodo is resurrected as a demon by Rias Gremory only to be recruited into her club of high-class devils."
"https://m.media-amazon.com/images/M/MV5BZjZmNjg3ZjMtZjQ0MS00NDE0LWE0MDctZTBjMDZiMWZhZTk3XkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg",57. Fruits Basket,8.6, (10K),"After Tohru is taken in by the Soma family, she learns that twelve family members transform involuntarily into animals of the Chinese zodiac and helps them deal with the emotional pain caused by the transformations."
"https://m.media-amazon.com/images/M/MV5BMjRjOGI4M2YtMGQ4NC00OTk3LTg4MWItYjBjYzNiOGI0Y2ZkXkEyXkFqcGc@._V1_QL75_UY207_CR4,0,140,207_.jpg",58. Devilman: Crybaby,7.6, (31K),"With demons reawakened and humanity in turmoil, a sensitive demon-boy is led into a brutal, degenerate war against evil by his mysterious friend, Ryo."
"https://m.media-amazon.com/images/M/MV5BMTU4NDg0MzkzNV5BMl5BanBnXkFtZTgwODA3Mzc1MDE@._V1_QL75_UX140_CR0,0,140,207_.jpg",59. The Wind Rises,7.8, (103K),"Jiro Horikoshi studies assiduously to fulfill his aim of becoming an aeronautical engineer. As WWII begins, fighter aircraft designed by him end up getting used by the Japanese Empire against its foes."
"https://m.media-amazon.com/images/M/MV5BNzEzYjhkYTctMWNmZS00MTc5LWI4OWUtZjFkNzNkYTNkMTJlXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg",60. Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,8.2, (79K),"After his family was brutally murdered and his sister turned into a demon, Tanjiro Kamado's journey as a demon slayer began. Tanjiro and his comrades embark on a new mission aboard the Mugen Train, on track to despair."
"https://m.media-amazon.com/images/M/MV5BNDRiNzNiNjAtMWU5OS00ODYwLWI0NTAtZjYwNjVhMDE1NDhmXkEyXkFqcGc@._V1_QL75_UY207_CR4,0,140,207_.jpg",61. Pokémon Horizons: The Series,7.5, (923),"Liko, whose partner Pokémon is Sprigatito, and Roy will encounter many characters during their journey, including a group called the Rising Volt Tacklers."
"https://m.media-amazon.com/images/M/MV5BNjdkOTE4NWItYWUyNS00ZTQ5LWE5ODYtODA1YWUxNThhY2E1XkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg",62. Shangri-La Frontier,7.5, (3K),High schooler Rakuro loves beating bad games. But can he discover all the secrets hidden in a best-selling VR game?
"https://m.media-amazon.com/images/M/MV5BYmJhYjgzYTQtMzMxYi00NTkyLWI2MWItNTgxNjk1NzU0YmQzXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg",63. My Dress-Up Darling,8.0, (16K),"A quiet loner and the popular girl at school find common ground, making their cosplay dreams come true."
"https://m.media-amazon.com/images/M/MV5BNjE3MmU3NTAtNDQ0NC00OTIyLWJiM2YtOGU5ODUzMGYyZTc0XkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg",64. Pom Poko,7.3, (36K),A community of magical shape-shifting raccoon dogs struggle to prevent their forest home from being destroyed by urban development.
"https://m.media-amazon.com/images/M/MV5BZGJkYjkyMDUtM2U3ZC00NDM3LWI0MzItZjU5MmYwYjg2YmIwXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg",65. Paprika,7.7, (101K),"When a machine that allows therapists to enter their patients' dreams is stolen, all hell breaks loose. Only a young female therapist, Paprika, can stop it."
"https://m.media-amazon.com/images/M/MV5BMGQ4ZGJhZTUtZDQ5Mi00NTI1LWEyYjItMzIxM2VlNmY4MDEyXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg",66. The Promised Neverland,8.2, (50K),"When three gifted kids at an isolated idyllic orphanage discover the secret and sinister purpose they were raised for, they look for a way to escape from their evil caretaker and lead the other children in a risky escape plan."
"https://m.media-amazon.com/images/M/MV5BMGI2Y2RiYTctYWIwZi00NjA2LWFmYzYtZDhkNTk1ZGNmNDVmXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg",67. Neon Genesis Evangelion: The End of Evangelion,8.1, (68K),Concurrent theatrical ending of the TV series Neon Genesis Evangelion (1995).
"https://m.media-amazon.com/images/M/MV5BN2JhOGMzODAtNWY4Ny00MWEyLWE0MGQtYTNiMWYyZmU5ZGQ4XkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg",68. My Happy Marriage,7.7, (5.6K),"An unhappy young woman from an abusive family is married off to a fearsome and chilly army commander. But the two learn more about each other, love may have a chance."
"https://m.media-amazon.com/images/M/MV5BMWUwNDFiNjQtYjQ0MC00MTcxLWE0MGQtNTdkYTlhZGU2NDFmXkEyXkFqcGc@._V1_QL75_UY207_CR1,0,140,207_.jpg",69. Violet Evergarden,8.4, (32K),"In the aftermath of a great war, Violet Evergarden, a young female ex-soldier, gets a job at a writers' agency and goes on assignments to create letters that can connect people."
"https://m.media-amazon.com/images/M/MV5BMzNhZTdmNDYtNTA0NC00MmNmLWIzYjUtNjg5NzNlYWQ0N2E5XkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg",70. Jujutsu Kaisen 0,7.8, (45K),"The prequel to Jujutsu Kaisen (2020), where a high schooler gains control of an extremely powerful cursed spirit and gets enrolled in the Tokyo Prefectural Jujutsu High School by Jujutsu Sorcerers."
"https://m.media-amazon.com/images/M/MV5BNDgzYzNhOGUtMWI1Mi00YjJkLWI2NGItOWFlNDE4ZjE0NGExXkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg",71. Boruto: Naruto Next Generations,6.4, (30K),"Son of Naruto Uzumaki, Boruto, follows his father's footsteps along with his friends to become great ninja. Throughout all their adventures, Boruto is determined to make his mark in the ninja world and live outside of his father's shadow."
"https://m.media-amazon.com/images/M/MV5BZjc4ZGZkNjMtZTRkYS00Mjk4LTgwMzAtMzg1MWZlZjcxNDRhXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg",72. The Rising of the Shield Hero,7.8, (19K),"A gamer is magically summoned into a parallel universe, where he is chosen as one of four heroes destined to save the world from its prophesied doom."
"https://m.media-amazon.com/images/M/MV5BM2UxMDkxM2ItYTNmNS00MjJjLWEyZDQtOTdhNDRhMTg1ZTgwXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg",73. Legend of the Galactic Heroes,9.0, (5.5K),"Various people, especially two rising commanders, cope with a massive continual space conflict between two interstellar nations."
